,Date,DFF,Inflation_Rate, Open_Dow, High_Dow, Low_Dow, Close_Dow,Average_Dow, Open_Nasdaq, High_Nasdaq, Low_Nasdaq, Close_Nasdaq,Average_Nasdaq, Open_S&P, High_S&P, Low_S&P, Close_S&P,Average_S&P
0,1/2/08,4.11,2.32,14547.08,14788.31,14493.37,14547.08,14547.08,2653.24,2661.5,2597.81,2609.63,2631.435,1447.16,1471.77,1442.07,1447.16,1447.16
1,1/3/08,4.25,2.33,14524.54,14632.08,14494.32,14524.54,14524.54,2612.4,2624.27,2592.18,2602.68,2607.54,1447.16,1456.8,1443.73,1447.16,1447.16
2,1/4/08,4.18,2.32,14154.51,14524.53,14150.16,14154.51,14154.51,2571.08,2571.08,2502.68,2504.65,2537.865,1411.63,1444.01,1411.19,1411.63,1411.63
3,1/7/08,4.27,2.29,14154.51,14265.25,14051.74,14181.97,14168.24,2513.1,2521.62,2471.23,2499.46,2506.2799999999997,1417.97,1423.87,1403.45,1416.18,1417.075
4,1/8/08,4.27,2.29,14181.98,14328.19,13901.54,13915.82,14048.9,2508.0,2527.42,2440.51,2440.51,2474.255,1422.15,1430.28,1388.3,1390.19,1406.17
5,1/9/08,4.26,2.26,13915.82,14077.75,13761.95,14076.52,13996.17,2441.16,2474.55,2407.39,2474.55,2457.855,1390.43,1409.19,1378.7,1409.13,1399.7800000000002
6,1/10/08,4.26,2.23,14076.52,14283.75,13934.05,14196.33,14136.425,2452.57,2503.55,2446.8,2488.52,2470.545,1397.54,1429.07,1395.3,1420.33,1408.935
7,1/11/08,4.23,2.26,14196.33,14196.34,13936.4,13995.85,14096.09,2466.97,2473.95,2428.85,2439.94,2453.455,1406.91,1419.91,1394.83,1401.02,1403.9650000000001
8,1/14/08,4.24,2.28,13995.85,14159.68,13995.85,14140.64,14068.244999999999,2469.28,2483.13,2455.34,2478.3,2473.79,1412.87,1417.89,1402.91,1416.25,1414.56
9,1/15/08,4.24,2.27,14140.63,14140.63,13793.32,13797.35,13968.99,2448.62,2455.29,2412.47,2417.59,2433.105,1397.73,1411.88,1380.6,1380.95,1389.3400000000001
10,1/16/08,4.22,2.24,13797.35,13909.46,13621.83,13727.02,13762.185000000001,2388.69,2429.58,2361.22,2394.59,2391.6400000000003,1373.27,1391.99,1364.27,1373.2,1373.2350000000001
11,1/17/08,4.23,2.23,13727.02,13781.45,13318.38,13340.09,13533.555,2408.82,2416.51,2343.65,2346.9,2377.86,1374.79,1377.72,1330.67,1333.25,1354.02
12,1/18/08,4.17,2.24,13340.1,13509.21,13132.8,13257.98,13299.04,2346.38,2384.21,2323.29,2340.02,2343.2,1333.94,1350.28,1312.51,1325.19,1329.565
14,1/22/08,3.68,2.24,13257.96,13257.96,12771.66,13130.94,13194.45,2218.15,2318.6,2221.2,2292.27,2255.21,1266.79,1322.09,1274.29,1310.5,1288.645
15,1/23/08,3.43,2.2,13130.94,13421.71,12738.26,13417.22,13274.08,2228.22,2320.13,2202.54,2316.41,2272.3149999999996,1277.56,1339.09,1270.05,1338.6,1308.08
16,1/24/08,3.47,2.24,13417.22,13588.62,13393.44,13550.44,13483.83,2334.56,2361.89,2326.37,2360.92,2347.74,1344.92,1355.15,1334.31,1352.07,1348.495
17,1/25/08,3.6,2.27,13550.44,13719.37,13327.85,13361.98,13456.21,2406.65,2408.22,2322.56,2326.2,2366.425,1368.56,1368.56,1327.5,1330.61,1349.585
18,1/28/08,3.5,2.28,13362.0,13601.0,13268.11,13601.0,13481.5,2325.84,2349.91,2306.64,2349.91,2337.875,1334.17,1353.97,1322.26,1353.97,1344.0700000000002
19,1/29/08,3.47,2.32,13601.01,13710.84,13549.95,13685.24,13643.125,2362.6,2362.11,2332.0,2358.06,2360.33,1363.33,1364.93,1350.19,1362.3,1362.815
20,1/30/08,3.26,2.33,13685.2,13910.3,13580.47,13605.15,13645.175,2349.21,2396.0,2343.88,2349.0,2349.105,1356.6,1385.86,1352.95,1355.81,1356.205
21,1/31/08,3.22,2.34,13605.12,13917.06,13403.13,13843.25,13724.185000000001,2318.22,2403.46,2313.52,2389.86,2354.04,1334.92,1385.62,1334.08,1378.55,1356.7350000000001
22,2/1/08,3.12,2.31,13843.25,14042.7,13830.41,14039.72,13941.485,2397.07,2419.23,2374.5,2413.36,2405.215,1381.72,1396.02,1375.93,1395.42,1388.5700000000002
23,2/4/08,2.82,2.3,14039.73,14039.73,13891.4,13902.22,13970.974999999999,2413.86,2413.42,2382.09,2382.85,2398.355,1395.27,1395.38,1379.69,1380.82,1388.045
24,2/5/08,2.71,2.27,13902.21,13902.21,13476.06,13476.06,13689.134999999998,2343.31,2359.43,2309.57,2309.57,2326.44,1357.26,1380.28,1336.64,1336.64,1346.95
25,2/6/08,2.94,2.25,13476.06,13623.68,13340.5,13360.19,13418.125,2329.38,2338.27,2277.27,2278.75,2304.065,1346.8,1351.96,1324.34,1326.45,1336.625
26,2/7/08,3.03,2.27,13360.18,13566.65,13256.62,13468.74,13414.46,2259.6,2318.52,2252.65,2293.03,2276.315,1321.09,1347.16,1316.75,1336.91,1329.0
27,2/8/08,3.05,2.28,13468.74,13526.92,13319.6,13424.8,13446.77,2290.69,2318.67,2280.27,2304.85,2297.77,1331.34,1341.22,1321.06,1331.29,1331.315
28,2/11/08,2.88,2.3,13424.8,13526.7,13314.07,13502.55,13463.675,2311.37,2326.23,2294.42,2320.06,2315.715,1331.23,1341.4,1320.32,1339.13,1335.18
29,2/12/08,2.91,2.3,13502.55,13722.9,13496.7,13589.58,13546.064999999999,2333.48,2349.55,2305.83,2320.04,2326.76,1346.93,1362.1,1339.36,1348.86,1347.895
30,2/13/08,3.02,2.28,13589.58,13799.58,13589.58,13784.02,13686.8,2347.74,2373.93,2338.91,2373.93,2360.835,1360.01,1369.23,1350.78,1367.21,1363.6100000000001
31,2/14/08,3.03,2.28,13784.03,13794.63,13575.14,13592.48,13688.255000000001,2377.99,2376.22,2328.59,2332.54,2355.265,1368.16,1368.16,1347.31,1348.86,1358.51
32,2/15/08,2.97,2.28,13592.47,13594.49,13469.82,13591.95,13592.21,2322.82,2329.17,2305.81,2321.8,2322.3100000000004,1347.2,1350.0,1338.13,1349.99,1348.595
34,2/19/08,2.94,2.33,13591.95,13760.66,13548.92,13585.89,13588.92,2349.61,2352.79,2300.1,2306.2,2327.9049999999997,1366.84,1367.28,1345.05,1348.78,1357.81
35,2/20/08,3.0,2.38,13585.85,13733.67,13463.3,13699.92,13642.885,2293.8,2331.7,2291.24,2327.1,2310.45,1338.56,1363.71,1336.55,1360.03,1349.295
36,2/21/08,3.01,2.34,13699.92,13789.07,13487.89,13519.11,13609.515,2347.15,2353.79,2294.77,2299.78,2323.465,1364.3,1367.94,1339.34,1342.53,1353.415
37,2/22/08,2.97,2.35,13519.11,13621.06,13360.98,13609.49,13564.3,2306.41,2308.76,2265.36,2303.35,2304.88,1344.22,1354.3,1327.04,1353.11,1348.665
38,2/25/08,3.0,2.38,13609.49,13835.94,13547.17,13810.94,13710.215,2302.47,2333.71,2294.38,2327.48,2314.975,1352.75,1374.36,1346.03,1371.8,1362.275
39,2/26/08,2.85,2.44,13810.94,13973.8,13733.55,13909.57,13860.255000000001,2311.72,2361.1,2311.32,2344.99,2328.3549999999996,1371.76,1387.34,1363.29,1381.29,1376.525
40,2/27/08,2.93,2.43,13909.58,13980.29,13812.48,13888.45,13899.015,2328.74,2363.52,2326.34,2353.78,2341.26,1378.95,1388.34,1372.0,1380.02,1379.4850000000001
41,2/28/08,3.06,2.45,13888.45,13888.45,13717.18,13762.1,13825.275000000001,2340.9,2352.88,2324.47,2331.57,2336.235,1378.16,1378.16,1363.16,1367.68,1372.92
42,2/29/08,3.01,2.43,13762.1,13762.1,13347.42,13398.01,13580.055,2308.21,2311.23,2264.97,2271.48,2289.8450000000003,1354.12,1364.07,1325.42,1330.63,1342.375
43,3/3/08,3.1,2.46,13398.01,13438.04,13276.88,13397.27,13397.64,2268.31,2275.75,2240.3,2258.6,2263.455,1329.68,1335.13,1320.04,1331.34,1330.51
44,3/4/08,2.9,2.48,13397.26,13397.26,13152.26,13345.65,13371.455,2243.25,2266.37,2221.09,2260.28,2251.7650000000003,1320.75,1331.03,1307.39,1326.75,1323.75
45,3/5/08,2.93,2.54,13345.66,13515.36,13286.76,13418.89,13382.275,2266.69,2290.01,2254.2,2272.81,2269.75,1330.32,1344.19,1320.22,1333.7,1332.01
46,3/6/08,2.99,2.55,13418.88,13419.2,13101.81,13110.37,13264.625,2270.0,2272.2,2219.33,2220.5,2245.25,1329.23,1332.2,1303.42,1304.34,1316.7849999999999
47,3/7/08,2.96,2.55,13110.37,13195.27,12891.33,12999.34,13054.855,2203.9,2242.5,2186.93,2212.49,2208.1949999999997,1294.66,1313.24,1282.43,1293.37,1294.0149999999999
48,3/10/08,2.99,2.56,12999.61,13007.92,12767.98,12775.83,12887.720000000001,2211.95,2216.89,2168.67,2169.34,2190.645,1293.68,1295.01,1272.66,1273.37,1283.525
49,3/11/08,2.95,2.55,12775.83,13240.56,12775.83,13240.55,13008.189999999999,2209.2,2255.76,2192.5,2255.76,2232.48,1301.4,1320.65,1274.4,1320.65,1311.025
50,3/12/08,2.97,2.54,13240.55,13365.86,13119.45,13128.22,13184.384999999998,2260.01,2282.61,2241.38,2243.87,2251.94,1322.23,1333.26,1307.86,1308.77,1315.5
51,3/13/08,2.98,2.51,13128.2,13267.92,12863.51,13214.41,13171.305,2216.14,2272.55,2199.38,2263.61,2239.875,1291.34,1321.68,1282.11,1315.48,1303.4099999999999
52,3/14/08,2.99,2.43,13214.41,13272.68,12810.41,12941.94,13078.175,2275.69,2277.11,2191.75,2212.49,2244.09,1319.78,1321.47,1274.86,1288.14,1303.96
53,3/17/08,2.69,2.29,12941.92,12941.92,12610.53,12788.41,12865.165,2161.29,2200.53,2155.42,2177.01,2169.15,1283.21,1287.5,1256.98,1276.6,1279.905
54,3/18/08,2.16,2.4,12788.42,13318.4,12788.42,13318.4,13053.41,2216.05,2268.26,2206.81,2268.26,2242.155,1302.22,1330.74,1277.16,1330.74,1316.48
55,3/19/08,2.08,2.34,13318.4,13426.87,12998.12,12998.12,13158.26,2269.9,2280.9,2209.96,2209.96,2239.9300000000003,1334.63,1341.51,1298.42,1298.42,1316.525
56,3/20/08,2.22,2.32,12998.12,13307.53,12962.31,13295.18,13146.650000000001,2224.95,2258.11,2208.12,2258.11,2241.5299999999997,1299.67,1330.67,1295.22,1329.51,1314.5900000000001
58,3/24/08,2.08,2.32,13295.18,13616.77,13295.18,13523.04,13409.11,2267.55,2336.7,2268.2,2326.75,2297.15,1333.66,1359.68,1330.29,1349.88,1341.77
59,3/25/08,2.42,2.26,13523.04,13614.28,13444.93,13573.28,13548.16,2332.09,2346.78,2312.06,2341.05,2336.57,1351.42,1357.47,1341.21,1352.99,1352.205
60,3/26/08,2.3,2.27,13574.04,13574.04,13412.15,13466.0,13520.02,2328.47,2331.18,2306.49,2324.36,2326.415,1343.93,1352.45,1336.41,1341.13,1342.5300000000002
61,3/27/08,2.27,2.33,13466.0,13514.26,13312.59,13313.26,13389.630000000001,2319.14,2315.91,2280.47,2280.83,2299.9849999999997,1345.62,1345.62,1325.66,1325.76,1335.69
62,3/28/08,2.09,2.34,13313.26,13401.16,13184.55,13207.55,13260.404999999999,2293.51,2304.71,2256.87,2261.18,2277.3450000000003,1327.02,1334.87,1312.95,1315.22,1321.12
63,3/31/08,2.51,2.34,13207.55,13342.11,13185.27,13284.11,13245.83,2265.09,2289.7,2260.59,2279.1,2272.0950000000003,1314.42,1328.52,1312.81,1322.7,1318.56
64,4/1/08,2.38,2.35,13284.11,13740.25,13284.11,13740.25,13512.18,2309.45,2362.75,2305.4,2362.75,2336.1,1340.94,1370.18,1326.41,1370.18,1355.56
65,4/2/08,2.18,2.34,13740.25,13824.96,13665.6,13726.97,13733.61,2365.4,2381.21,2347.78,2361.4,2363.4,1373.15,1377.95,1361.55,1367.53,1370.3400000000001
66,4/3/08,2.19,2.33,13726.96,13812.38,13637.85,13752.22,13739.59,2345.88,2373.99,2339.38,2363.3,2354.59,1359.71,1375.66,1358.68,1369.31,1364.51
67,4/4/08,2.26,2.32,13752.22,13874.82,13693.74,13770.24,13761.23,2371.29,2391.93,2351.76,2370.98,2371.135,1370.56,1380.91,1362.83,1370.4,1370.48
68,4/7/08,2.24,2.34,13770.24,13931.35,13755.97,13792.15,13781.195,2387.1,2390.04,2359.54,2364.83,2375.965,1381.19,1386.74,1369.02,1372.54,1376.865
69,4/8/08,2.23,2.32,13792.15,13792.15,13680.38,13733.86,13763.005000000001,2346.26,2359.4,2337.84,2348.76,2347.51,1362.61,1370.16,1360.62,1365.54,1364.0749999999998
70,4/9/08,2.2,2.3,13733.87,13765.13,13561.79,13603.84,13668.855,2349.41,2353.54,2311.45,2322.12,2335.765,1365.43,1368.39,1349.97,1354.49,1359.96
71,4/10/08,2.3,2.29,13603.84,13738.88,13558.47,13678.97,13641.404999999999,2326.02,2363.91,2324.39,2351.7,2338.8599999999997,1355.21,1367.24,1350.11,1360.55,1357.88
72,4/11/08,2.37,2.3,13678.97,13678.97,13380.1,13400.36,13539.665,2326.06,2328.45,2286.19,2290.24,2308.1499999999996,1343.58,1357.98,1331.21,1332.83,1338.205
73,4/14/08,2.32,2.3,13400.35,13436.46,13335.69,13356.84,13378.595000000001,2285.35,2296.73,2274.91,2275.82,2280.585,1331.83,1335.64,1326.16,1328.32,1330.0749999999998
74,4/15/08,2.32,2.32,13356.84,13445.09,13314.17,13419.61,13388.225,2288.9,2291.12,2266.29,2286.04,2287.4700000000003,1337.59,1337.72,1324.35,1334.43,1336.01
75,4/16/08,2.35,2.31,13419.62,13738.83,13419.62,13733.63,13576.625,2313.33,2352.21,2313.42,2350.11,2331.7200000000003,1346.43,1365.49,1337.02,1364.71,1355.5700000000002
76,4/17/08,2.37,2.31,13733.63,13755.7,13645.38,13726.99,13730.31,2347.55,2348.31,2327.66,2341.83,2344.69,1360.18,1368.6,1357.25,1365.56,1362.87
77,4/18/08,2.32,2.32,13727.0,14020.27,13727.0,13965.24,13846.119999999999,2398.24,2412.78,2383.24,2402.97,2400.6049999999996,1391.12,1395.9,1369.0,1390.33,1390.725
78,4/21/08,2.28,2.31,13965.19,13965.19,13860.0,13945.15,13955.17,2393.07,2410.97,2389.82,2408.04,2400.5550000000003,1382.69,1390.23,1379.25,1388.17,1385.43
79,4/22/08,1.99,2.31,13945.14,13945.14,13745.41,13809.48,13877.31,2397.37,2397.17,2361.67,2376.94,2387.1549999999997,1382.47,1386.43,1369.84,1375.94,1379.205
