Date,CPIAUCSL
1/1/08,212.174
2/1/08,212.687
3/1/08,213.448
4/1/08,213.942
5/1/08,215.208
6/1/08,217.463
7/1/08,219.016
8/1/08,218.69
9/1/08,218.877
10/1/08,216.995
11/1/08,213.153
12/1/08,211.398
1/1/09,211.933
2/1/09,212.705
3/1/09,212.495
4/1/09,212.709
5/1/09,213.022
6/1/09,214.79
7/1/09,214.726
8/1/09,215.445
9/1/09,215.861
10/1/09,216.509
11/1/09,217.234
12/1/09,217.347
1/1/10,217.488
2/1/10,217.281
3/1/10,217.353
4/1/10,217.403
5/1/10,217.29
6/1/10,217.199
7/1/10,217.605
8/1/10,217.923
9/1/10,218.275
10/1/10,219.035
11/1/10,219.59
12/1/10,220.472
1/1/11,221.187
2/1/11,221.898
3/1/11,223.046
4/1/11,224.093
5/1/11,224.806
6/1/11,224.806
7/1/11,225.395
8/1/11,226.106
9/1/11,226.597
10/1/11,226.75
11/1/11,227.169
12/1/11,227.223
1/1/12,227.842
2/1/12,228.329
3/1/12,228.807
4/1/12,229.187
5/1/12,228.713
6/1/12,228.524
7/1/12,228.59
8/1/12,229.918
9/1/12,231.015
10/1/12,231.638
11/1/12,231.249
12/1/12,231.221
1/1/13,231.679
2/1/13,232.937
3/1/13,232.282
4/1/13,231.797
5/1/13,231.893
6/1/13,232.445
7/1/13,232.9
8/1/13,233.456
9/1/13,233.544
10/1/13,233.669
11/1/13,234.1
12/1/13,234.719
1/1/14,235.288
2/1/14,235.547
3/1/14,236.028
4/1/14,236.468
5/1/14,236.918
6/1/14,237.231
7/1/14,237.498
8/1/14,237.46
9/1/14,237.477
10/1/14,237.43
11/1/14,236.983
12/1/14,236.252
1/1/15,234.747
2/1/15,235.342
3/1/15,235.976
4/1/15,236.222
5/1/15,237.001
6/1/15,237.657
7/1/15,238.034
8/1/15,238.033
9/1/15,237.498
10/1/15,237.733
11/1/15,238.017
12/1/15,237.761
1/1/16,237.652
2/1/16,237.336
3/1/16,238.08
4/1/16,238.992
5/1/16,239.557
6/1/16,240.222
7/1/16,240.101
8/1/16,240.545
9/1/16,241.176
10/1/16,241.741
11/1/16,242.026
12/1/16,242.637
1/1/17,243.618
2/1/17,244.006
3/1/17,243.892
4/1/17,244.193
5/1/17,244.004
6/1/17,244.163
7/1/17,244.243
8/1/17,245.183
9/1/17,246.435
10/1/17,246.626
11/1/17,247.284
12/1/17,247.805
1/1/18,248.859
2/1/18,249.529
3/1/18,249.577
4/1/18,250.227
5/1/18,250.792
6/1/18,251.018
7/1/18,251.214
8/1/18,251.663
9/1/18,252.182
10/1/18,252.772
11/1/18,252.594
12/1/18,252.767
1/1/19,252.718
2/1/19,253.322
3/1/19,254.202
4/1/19,255.211
5/1/19,255.29
6/1/19,255.159
7/1/19,255.685
8/1/19,256.059
9/1/19,256.511
10/1/19,257.244
11/1/19,257.803
12/1/19,258.616
1/1/20,259.037
2/1/20,259.248
3/1/20,258.124
4/1/20,256.092
5/1/20,255.868
6/1/20,256.986
7/1/20,258.278
8/1/20,259.411
9/1/20,260.029
10/1/20,260.286
11/1/20,260.813
12/1/20,262.035
1/1/21,262.65
2/1/21,263.638
3/1/21,264.914
4/1/21,266.67
5/1/21,268.444
6/1/21,270.559
7/1/21,271.764
8/1/21,272.87
9/1/21,274.028
10/1/21,276.522
11/1/21,278.711
12/1/21,280.887
1/1/22,282.599
2/1/22,284.61
3/1/22,287.472
4/1/22,288.611
5/1/22,291.268
6/1/22,294.728
7/1/22,294.628
8/1/22,295.32
9/1/22,296.539
10/1/22,297.987
11/1/22,298.598
12/1/22,298.99
1/1/23,300.536
2/1/23,301.648
3/1/23,301.808
4/1/23,302.918
5/1/23,303.294
6/1/23,303.841
7/1/23,304.348
