Date, Open_Nasdaq, High_Nasdaq, Low_Nasdaq, Close_Nasdaq
8/22/23,13593.94,13598.76,13484.38,13505.87
8/21/23,13347.26,13516.86,13325.59,13497.59
8/18/23,13190.02,13335.87,13161.76,13290.78
8/17/23,13527.3,13535.09,13303.44,13316.93
8/16/23,13593.17,13644.32,13473.03,13474.63
8/15/23,13760.48,13774.98,13611.93,13631.05
8/14/23,13599,13789.16,13582.49,13788.33
8/11/23,13633.65,13720.33,13609.98,13644.85
8/10/23,13818.25,13947.16,13686.51,13737.99
8/9/23,13897.61,13898.53,13698.39,13722.02
8/8/23,13875.45,13899.74,13769.34,13884.32
8/7/23,13972.45,13997.15,13864.92,13994.4
8/4/23,14025.96,14119.22,13897.93,13909.24
8/3/23,13899.76,14032.28,13881.35,13959.72
8/2/23,14132.73,14133.85,13914.81,13973.45
8/1/23,14274.93,14309.21,14215.64,14283.91
7/31/23,14337.9,14370.91,14292.75,14346.02
7/28/23,14199.83,14344.35,14188.1,14316.66
7/27/23,14319.16,14360.2,14006.92,14050.11
7/26/23,14123.52,14187.35,14041.95,14127.28
7/25/23,14093.24,14201.91,14092.52,14144.56
7/24/23,14081.63,14110.15,13997.13,14058.87
7/21/23,14148.17,14179.01,14020.45,14032.81
7/20/23,14273.29,14309.92,14030.63,14063.31
7/19/23,14398.53,14446.55,14317.09,14358.02
7/18/23,14212.25,14396.69,14176.11,14353.64
7/17/23,14149.92,14274.41,14138.01,14244.95
7/14/23,14166.66,14232.11,14081.96,14113.7
7/13/23,14021.15,14163.81,14012.24,14138.57
7/12/23,13915.64,13963.45,13842.13,13918.96
7/11/23,13709.82,13774.83,13643.32,13760.7
7/10/23,13645.37,13692.41,13584.87,13685.48
7/7/23,13668.07,13804.51,13656.74,13660.72
7/6/23,13653.17,13689.52,13567.25,13679.04
7/5/23,13772.1,13844.5,13764.25,13791.65
7/3/23,13798.7,13839.09,13773.41,13816.77
6/30/23,13719.98,13816.67,13716.16,13787.92
6/29/23,13592.36,13618.53,13540.26,13591.33
6/28/23,13506.02,13654.14,13495.73,13591.75
6/27/23,13389.25,13578.8,13366.97,13555.67
6/26/23,13468.75,13573.57,13334.42,13335.78
6/23/23,13484.1,13572.19,13442.65,13492.52
6/22/23,13443.41,13631.85,13441.56,13630.61
6/21/23,13620.87,13638.57,13460.94,13502.2
6/20/23,13642.3,13711.18,13561.84,13667.29
6/16/23,13859.07,13864.06,13680.95,13689.57
6/15/23,13572.88,13828.17,13561.37,13782.82
6/14/23,13570.56,13661.74,13455.99,13626.48
6/13/23,13566.52,13594.4,13473.19,13573.32
6/12/23,13326.37,13465.91,13302.58,13461.92
6/9/23,13312.4,13385.95,13229.33,13259.14
6/8/23,13113.27,13248.6,13101.18,13238.52
6/7/23,13295.26,13361.9,13089.48,13104.89
6/6/23,13199.59,13306.2,13165.65,13276.42
6/5/23,13238.48,13330.65,13194.95,13229.43
6/2/23,13190.48,13256.21,13125.86,13240.77
6/1/23,12944.46,13141.83,12903.63,13100.98
5/31/23,12968.38,13029.08,12889.37,12935.29
5/30/23,13109.1,13154.29,12968.12,13017.43
5/26/23,12736.42,13001.91,12729.74,12975.69
5/25/23,12706.44,12736.92,12604.89,12698.09
5/24/23,12481.9,12529.63,12415.85,12484.16
5/23/23,12652.88,12709.74,12554.43,12560.25
5/22/23,12664.44,12756.23,12655.26,12720.78
5/19/23,12709.46,12731.73,12624.06,12657.9
5/18/23,12513.87,12698.5,12512.26,12688.84
5/17/23,12388.58,12514.07,12335.02,12500.57
5/16/23,12327.05,12403.81,12324.52,12343.05
5/15/23,12301.17,12376.4,12263.35,12365.21
5/12/23,12350.52,12364.65,12209.58,12284.74
5/11/23,12321.26,12347.38,12255.44,12328.51
5/10/23,12286.66,12337.69,12180.86,12306.44
5/9/23,12195.78,12216.13,12174.06,12179.55
5/8/23,12231.68,12264.99,12178.26,12256.92
5/5/23,12073.03,12264.83,12065.72,12235.41
5/4/23,11997.34,12033.15,11925.37,11966.4
5/3/23,12097.04,12212.56,12022.46,12025.33
5/2/23,12198.02,12206.58,12015.23,12080.51
5/1/23,12210.05,12261.32,12181.08,12212.6
4/28/23,12117.54,12227.72,12082.57,12226.58
4/27/23,11972.15,12154.01,11950.92,12142.24
4/26/23,11913.23,11967.99,11833.07,11854.35
4/25/23,11968.81,11990.46,11798.77,11799.16
4/24/23,12053.47,12103.58,11960.31,12037.2
4/21/23,12046.03,12097.15,11986.82,12072.46
4/20/23,12039.08,12155.96,12011.95,12059.56
4/19/23,12063.68,12191.1,12060.17,12157.23
4/18/23,12234.56,12245.43,12110.23,12153.41
4/17/23,12108.23,12159.02,12064.1,12157.72
4/14/23,12117.91,12205.72,12026.55,12123.47
4/13/23,11997.42,12178.8,11995.94,12166.27
4/12/23,12110.87,12134.5,11916.54,11929.34
4/11/23,12080.24,12091.27,12011.4,12031.88
4/10/23,11975.14,12084.94,11924.2,12084.36
4/6/23,11939.08,12098.5,11898.36,12087.96
4/5/23,12081.76,12086.75,11931.84,11996.86
4/4/23,12208.49,12224.68,12081.81,12126.33
4/3/23,12146.09,12196.34,12086.52,12189.45
3/31/23,12031.54,12227.93,12030.44,12221.91
3/30/23,12010.45,12044.79,11953.37,12013.47
3/29/23,11855.59,11941.59,11823.35,11926.24
3/28/23,11752.76,11752.76,11635.02,11716.08
3/27/23,11868.54,11903.21,11739.05,11768.84
3/24/23,11747.62,11826.23,11670.67,11823.96
3/23/23,11811.32,11962.69,11684.52,11787.4
3/22/23,11857.5,12013.99,11666.85,11669.96
3/21/23,11764.79,11879.16,11724.91,11860.11
3/20/23,11614.39,11695.55,11550.69,11675.54
3/17/23,11696.34,11773.11,11562.63,11630.51
3/16/23,11384.87,11733.8,11365.49,11717.28
3/15/23,11291.17,11447.91,11238.44,11434.05
3/14/23,11357.74,11467.02,11284.93,11428.15
3/13/23,11041.46,11326.73,10982.8,11188.84
3/10/23,11325.36,11373.81,11093.86,11138.89
3/9/23,11578.31,11667.12,11319.98,11338.35
3/8/23,11553.09,11601.23,11487.75,11576
3/7/23,11670.98,11705.97,11512.03,11530.33
3/6/23,11736.87,11827.92,11667.48,11675.74
3/3/23,11524.65,11699.63,11514.74,11689.01
3/2/23,11273.77,11487.59,11273.61,11462.98
3/1/23,11447.58,11479,11349.87,11379.48
2/28/23,11451.05,11548.23,11435.39,11455.54
2/27/23,11517.19,11565.23,11444.6,11466.98
2/24/23,11404.18,11434.36,11334.47,11394.94
2/23/23,11636.93,11638.98,11432.58,11590.4
2/22/23,11517.2,11582.52,11445.17,11507.07
2/21/23,11640.37,11684.14,11491.18,11492.3
2/17/23,11777.5,11803.22,11673.21,11787.27
2/16/23,11896.31,12040.34,11853.36,11855.83
2/15/23,11905.12,12071.29,11876.82,12070.59
2/14/23,11808.2,11999.85,11760.57,11960.15
2/13/23,11759.09,11910.92,11719.73,11891.79
2/10/23,11714.6,11775.8,11630.54,11718.12
2/9/23,12069.1,12070.96,11745.11,11789.58
2/8/23,12069.12,12096.39,11890.09,11910.52
2/7/23,11891.25,12150.22,11836.77,12113.79
2/6/23,11904.41,11973.41,11843.49,11887.45
2/3/23,11946.86,12231.31,11946.86,12006.95
2/2/23,12065.15,12269.56,12024.14,12200.82
2/1/23,11573.14,11904.02,11500.33,11816.32
1/31/23,11398.58,11586.01,11398.37,11584.55
1/30/23,11512.34,11553.31,11388.54,11393.81
1/27/23,11470.47,11691.89,11470.27,11621.71
1/26/23,11458.41,11516.05,11341.19,11512.41
1/25/23,11146.53,11334.22,11069.17,11313.36
1/24/23,11302.93,11378.15,11282.65,11334.27
1/23/23,11171.94,11405.5,11144.03,11364.41
1/20/23,10924.66,11143.17,10885.65,11140.43
1/19/23,10890.4,10932.52,10804.57,10852.27
1/18/23,11170.95,11223.41,10952.05,10957.01
1/17/23,11070,11145.44,11024.72,11095.11
1/13/23,10906.37,11084.01,10900.16,11079.16
1/12/23,10969.26,11027.75,10797.12,11001.1
1/11/23,10794.99,10932.44,10762.73,10931.67
1/10/23,10607.72,10743.67,10589.59,10742.63
1/9/23,10662.1,10807.26,10619.12,10635.65
1/6/23,10363.96,10604.14,10265.04,10569.29
1/5/23,10390.31,10393.22,10295.25,10305.24
1/4/23,10467.82,10515.22,10337.64,10458.76
1/3/23,10562.06,10613.06,10309.16,10386.98
12/30/22,10368.37,10468.31,10324.69,10466.48
12/29/22,10321.46,10502.08,10301.06,10478.09
12/28/22,10339.2,10414.82,10207.47,10213.29
12/27/22,10462.19,10472.32,10340.73,10353.23
12/23/22,10437.75,10514.76,10361.82,10497.86
12/22/22,10586.46,10599.34,10313.32,10476.12
12/21/22,10592,10753.57,10569.2,10709.37
12/20/22,10490.89,10609.47,10446.82,10547.11
12/19/22,10707.44,10713.97,10497.55,10546.03
12/16/22,10767.64,10833.24,10642.1,10705.41
12/15/22,11012.62,11029.57,10775.61,10810.53
12/14/22,11248.09,11352.09,11065.24,11170.89
12/13/22,11542.84,11571.64,11160.54,11256.81
12/12/22,11015.48,11144.67,10984.82,11143.74
12/9/22,11038.17,11138.7,10999.26,11004.62
12/8/22,11011.33,11119.16,10939.47,11082
12/7/22,10963.95,11039.81,10910.62,10958.55
12/6/22,11228.42,11241.42,10956.2,11014.89
12/5/22,11380.99,11425.51,11193.02,11239.94
12/2/22,11308.38,11492.32,11296.72,11461.5
12/1/22,11475.17,11546.77,11378.75,11482.45
11/30/22,10995.2,11468.47,10966.53,11468
11/29/22,11060.02,11086.02,10944.37,10983.78
11/28/22,11147.57,11217.75,11020.69,11049.5
11/25/22,11231,11261.57,11206.38,11226.36
11/23/22,11174.61,11310.82,11174.61,11285.32
11/22/22,11058.56,11179.87,10975.66,11174.41
11/21/22,11091.01,11128.78,10999.75,11024.51
11/18/22,11257.01,11259.44,11059.16,11146.06
11/17/22,11008.67,11198.84,11006.21,11144.96
11/16/22,11260.09,11286.1,11162.92,11183.66
11/15/22,11474.82,11492.62,11241.15,11358.41
11/14/22,11233.9,11350.13,11167.17,11196.22
11/11/22,11124.75,11352.43,11069.83,11323.33
11/10/22,10869.17,11119.11,10779.95,11114.15
11/9/22,10528.45,10564.97,10344.01,10353.17
11/8/22,10611.53,10745.64,10472.73,10616.2
11/7/22,10516.94,10587.96,10428.91,10564.52
11/4/22,10548.15,10553.63,10262.93,10475.25
11/3/22,10399.45,10486.01,10319.54,10342.94
11/2/22,10885.01,10993.24,10522.9,10524.8
11/1/22,11154.74,11156.35,10881.19,10890.85
10/31/22,11028.43,11047.94,10914,10988.15
10/28/22,10766.2,11117.04,10766.2,11102.45
10/27/22,10971.95,10998.73,10780.5,10792.67
10/26/22,10969.02,11205.84,10948.38,10970.99
10/25/22,10996.97,11210.38,10996.97,11199.12
10/24/22,10867.07,10983.52,10713.33,10952.61
10/21/22,10576.04,10875.72,10542.43,10859.72
10/20/22,10657.41,10837.3,10574.55,10614.84
10/19/22,10689.31,10808.04,10592.88,10680.51
10/18/22,10963.99,10972.97,10670.12,10772.4
10/17/22,10575.65,10696.59,10569.69,10675.8
10/14/22,10742.81,10766.68,10308.81,10321.39
10/13/22,10131.82,10697.71,10088.83,10649.15
10/12/22,10437,10494.53,10372.21,10417.1
10/11/22,10484.37,10608.84,10351.98,10426.19
10/10/22,10659.95,10669.93,10449.04,10542.1
10/7/22,10877.28,10891.93,10608.52,10652.4
10/6/22,11129.04,11230.44,11051.27,11073.31
10/5/22,11022.67,11210.32,10910.76,11148.64
